TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,Price
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,No,0,0,0,64,249.0
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,No,1000,0,0,0,367.0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.8,No,1000,128,0,0,979.0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.86,No,1000,0,0,0,488.69
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,No,0,256,0,0,879.0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.0,No,1000,0,0,0,389.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,No,1000,256,0,0,1499.0
Notebook,15.6,1366x768,Intel i5,8,Linux,2.3,No,1000,0,0,0,522.99
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.2,No,0,256,0,0,682.0
2 in 1 Convertible,17.3,1920x1080,Intel i5,12,Windows 10,2.77,Yes,1000,0,0,0,999.0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,256,0,0,1419.0
Notebook,15.6,1366x768,Intel i3,4,No OS,2.2,No,0,128,0,0,369.0
Gaming,17.3,1920x1080,AMD Ryzen,8,Windows 10,3.2,No,1000,256,0,0,1299.0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.3,No,0,256,0,0,639.0
Notebook,17.3,1366x768,Intel Pentium,4,Windows 10,2.8,No,1000,0,0,0,466.0
2 in 1 Convertible,10.1,1920x1200,Intel Atom,4,Android,0.69,Yes,0,0,0,64,319.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,841.0
Notebook,15.6,1920x1080,AMD A6,4,Windows 10,1.86,No,0,256,0,0,398.49
Notebook,13.3,1920x1080,Intel i7,8,Windows 10,1.49,No,0,512,0,0,1103.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.4,No,1000,0,0,0,384.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.13,No,0,256,0,0,767.8
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.91,No,0,128,0,0,439.0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.0,No,0,256,0,0,586.19
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.43,No,2000,256,0,0,2449.0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.0,No,0,256,0,0,415.0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.8,No,2000,256,0,0,1299.0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.7,No,0,256,0,0,879.0
Notebook,14.0,1920x1080,Intel i3,8,No OS,1.7,No,0,256,0,0,599.0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.4,No,0,256,0,0,941.0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.86,No,0,256,0,0,690.0
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.8,No,0,512,0,0,1983.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,1.86,No,500,0,0,0,438.69
Notebook,14.0,1366x768,Intel Celeron,4,Windows 10,1.44,No,0,32,0,0,229.0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,1.9,No,1000,0,0,0,549.0
Gaming,17.3,1920x1080,Intel i7,12,Linux,3.0,No,1000,0,0,0,949.0
Ultrabook,13.5,2256x1504,Intel i5,4,Windows 10 S,1.25,Yes,0,128,0,0,1089.0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,No,0,256,0,0,955.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,870.0
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,2.7,No,1000,128,0,0,1095.0
Notebook,14.0,1366x768,Intel i3,8,Windows 10,2.1,No,1000,0,0,0,389.0
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,1000,0,0,0,949.0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,No,2000,0,0,0,519.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.02,No,1000,128,0,0,855.0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,1000,0,0,0,530.0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,128,0,0,977.0
Ultrabook,15.6,1920x1080,Intel i5,8,Windows 10,1.88,No,0,256,0,0,1096.16
Ultrabook,12.0,2304x1440,Intel i5,8,macOS,0.92,No,0,512,0,0,1510.0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,No,0,256,0,0,860.0
Notebook,15.6,1920x1080,AMD A6,4,Windows 10,2.2,No,0,128,0,0,399.0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,No,1000,0,0,0,395.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.65,No,1000,128,0,0,1349.0
Ultrabook,15.6,1920x1080,Intel i7,8,Windows 10,1.83,No,0,256,0,0,699.0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.96,No,0,256,0,0,598.99
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,No,1000,128,0,0,1449.0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.21,No,0,256,0,0,1649.0
Gaming,15.6,1920x1080,AMD FX,8,Windows 10,2.45,No,1000,0,0,0,699.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,1000,0,0,0,689.0
Notebook,13.3,1920x1080,Intel i7,16,Windows 10,1.49,No,0,512,0,0,1197.0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.65,No,0,256,0,0,1195.0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,No,0,256,0,0,1049.0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.5,Yes,0,256,0,0,847.0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.2,No,1000,0,0,0,599.9
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.2,No,0,256,0,0,485.0
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2.0,No,0,256,0,0,577.0
Gaming,15.6,1920x1080,Intel i7,12,Windows 10,2.62,No,1000,128,0,0,1249.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.91,No,0,256,0,0,719.0
Notebook,15.6,1920x1080,AMD E,4,Windows 10,2.1,No,500,0,0,0,349.0
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,No,1000,0,0,0,647.0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.38,No,0,256,0,0,1119.0
Ultrabook,13.5,2256x1504,Intel i5,8,Windows 10 S,1.25,Yes,0,256,0,0,1340.0
Notebook,14.0,1920x1080,Intel i5,6,Windows 10,1.58,No,0,256,0,0,659.0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,1.85,No,1000,0,0,0,414.9
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.3,No,0,256,0,0,1193.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.2,No,1000,256,0,0,1299.0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.58,No,0,256,0,0,1480.0
Ultrabook,15.6,1920x1080,Intel i7,16,Windows 10,1.5,No,1000,256,0,0,1262.0
Ultrabook,13.3,3200x1800,Intel i7,8,Windows 10,1.23,Yes,0,256,0,0,1379.0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.37,Yes,0,256,0,0,1399.0
Notebook,14.0,1366x768,Intel i5,4,Windows 10,1.63,No,500,0,0,0,722.0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.21,No,0,256,0,0,1629.0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.26,Yes,0,256,0,0,1398.99
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,No,0,512,0,0,1084.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.16,No,1000,256,0,0,1130.33
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,2.0,No,1000,0,0,0,564.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.7,No,0,256,0,0,1118.0
Notebook,15.6,1920x1080,Intel i3,6,Windows 10,2.1,Yes,1000,0,0,0,479.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,1.8,No,2000,256,0,0,2241.5
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,No,0,256,0,0,629.0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.5,No,0,512,0,0,1271.0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.1,No,0,256,0,0,451.0
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.86,No,500,0,0,0,259.0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.63,No,1000,0,0,0,812.0
Notebook,14.0,1366x768,AMD E,4,Windows 10 S,1.65,No,0,64,0,0,277.99
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.8,No,2000,256,0,0,1396.0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,928.0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.36,No,1000,0,0,0,638.99
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,1000,0,0,0,449.0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.6,No,0,256,0,0,884.0
Notebook,15.6,1920x1080,Intel i3,4,Windows 10,2.2,No,0,256,0,0,572.0
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.05,No,1000,0,0,0,598.0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,No,0,256,0,0,988.0
Notebook,15.6,1366x768,Intel Celeron,4,No OS,1.9,No,1000,0,0,0,252.36
Gaming,17.3,1920x1080,Intel i5,8,Windows 10,3.0,No,1000,128,0,0,938.0
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,No,1000,0,0,0,499.0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.32,No,0,256,0,0,699.0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3.0,No,1000,0,0,0,655.0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.75,No,0,256,0,0,1116.02
Gaming,15.6,1920x1080,Intel i7,8,No OS,2.4,No,0,256,0,0,869.0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,No,500,0,0,0,602.0
Notebook,15.6,1366x768,AMD A6,4,Windows 10,1.86,No,0,256,0,0,369.0
Ultrabook,14.0,1920x1080,Intel i7,8,Windows 10,1.25,No,0,256,0,0,1099.0
Ultrabook,12.5,3840x2160,Intel M ,8,Windows 10,0.97,Yes,0,512,0,0,2014.0
Notebook,15.6,1920x1080,Intel Celeron,4,Windows 10,2.0,No,1000,0,0,0,344.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,No,1000,256,0,0,2029.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,No,1000,0,0,0,447.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.56,No,0,512,0,0,1249.26
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.62,No,0,0,1000,0,899.0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,1.9,No,0,128,0,0,498.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.8,No,1000,256,0,0,1890.0
Ultrabook,14.0,1920x1080,Intel i5,4,Windows 10,1.48,No,0,256,0,0,1082.0
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,1.91,No,0,256,0,0,619.0
2 in 1 Convertible,14.0,1920x1080,Intel i3,4,Windows 10,1.74,Yes,0,256,0,0,629.0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.1,Yes,0,256,0,0,1315.0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,1.56,Yes,0,256,0,0,1049.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,No,500,0,0,0,447.0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,2.03,No,1000,0,0,0,403.0
Notebook,17.3,1920x1080,Intel i5,4,Windows 10,3.0,No,0,256,0,0,805.0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.13,No,0,256,0,0,728.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.5,No,0,256,0,0,1079.0
Notebook,15.6,1366x768,Intel Celeron,4,Windows 10,2.1,No,1000,0,0,0,348.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,2.4,No,1000,256,0,0,1799.0
Notebook,15.6,1366x768,Intel Pentium,4,Windows 10,2.1,No,1000,0,0,0,363.51
Gaming,15.6,1920x1080,Intel i7,8,Windows 10,2.56,No,1000,128,0,0,1060.49
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,3.0,No,0,256,0,0,854.0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,No,500,0,0,0,754.0
Ultrabook,13.0,2160x1440,Intel i5,8,Windows 10,1.05,No,0,256,0,0,1349.0
Notebook,17.3,1920x1080,Intel i5,6,Windows 10,2.71,No,2000,0,0,0,699.0
Notebook,15.6,1366x768,AMD A6,4,No OS,2.2,No,500,0,0,0,309.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.0,No,500,0,0,0,489.0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,923.0
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.3,No,1000,0,0,0,459.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.1,No,0,128,0,0,449.0
Gaming,18.4,1920x1080,Intel i7,32,Windows 10,4.4,No,1000,512,0,0,2799.0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,1.9,No,1000,128,0,0,813.0
2 in 1 Convertible,13.3,3840x2160,Intel i5,8,Windows 10,1.29,Yes,0,256,0,0,1499.0
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.02,No,2000,256,0,0,1049.0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.23,No,0,256,0,0,1399.0
2 in 1 Convertible,13.9,3840x2160,Intel i7,16,Windows 10,1.4,Yes,0,512,0,0,1849.0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.0,No,0,128,0,0,793.0
Notebook,15.6,1920x1080,Intel i5,8,No OS,1.95,No,0,256,0,0,1199.0
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.77,Yes,0,512,0,0,1549.0
Notebook,15.6,3840x2160,Intel i7,16,Windows 10,2.06,Yes,0,512,0,0,2397.0
Gaming,15.6,1920x1080,Intel i5,8,No OS,2.4,No,0,256,0,0,779.0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.12,No,0,256,0,0,989.0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,No,1000,128,0,0,1085.0
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.42,Yes,0,1000,0,0,2824.0
Notebook,14.0,1920x1080,Intel Celeron,4,Windows 10,1.3,No,0,0,0,32,260.0
Ultrabook,13.3,1920x1080,Intel i5,8,No OS,1.3,No,0,256,0,0,999.9
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,No,0,256,0,0,698.0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.62,Yes,1000,0,0,0,839.0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.5,No,1000,0,0,0,914.0
Gaming,17.3,3840x2160,Intel i7,32,Windows 10,3.49,Yes,0,1000,0,0,6099.0
Notebook,13.3,1920x1080,Intel i5,8,Windows 10,1.49,No,0,512,0,0,959.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.35,No,1000,256,0,0,1379.0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,No,0,256,0,0,1045.0
Gaming,15.6,3840x2160,Intel i7,16,Windows 10,2.65,No,1000,512,0,0,1845.0
Notebook,15.6,1366x768,Intel i5,4,Windows 10,2.1,No,0,128,0,0,493.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.23,No,1000,0,0,0,742.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,No,1000,512,0,0,1749.0
Workstation,15.6,3840x2160,Intel Xeon,16,Windows 10,2.8,No,1000,256,0,0,3055.0
Gaming,15.6,1920x1080,Intel i7,16,No OS,2.4,No,0,512,0,0,1398.0
Notebook,15.6,1366x768,Intel i3,6,Windows 10,2.3,Yes,1000,0,0,0,439.0
Ultrabook,13.3,3840x2160,Intel i7,8,Windows 10,1.21,Yes,0,256,0,0,1949.0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,No,0,256,0,0,1449.0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.2,No,0,256,0,0,597.0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.4,No,1000,0,0,0,779.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,2.9,No,1000,256,0,0,1407.0
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.1,No,500,0,0,0,349.0
Notebook,15.6,1920x1080,Intel i5,8,No OS,2.2,No,0,256,0,0,549.0
Ultrabook,13.0,2160x1440,Intel i7,8,Windows 10,1.05,No,0,512,0,0,1499.0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.4,No,0,256,0,0,931.88
Notebook,17.3,1600x900,Intel i5,8,No OS,2.8,No,1000,0,0,0,589.0
Notebook,14.0,1920x1080,Intel i7,8,Windows 10,1.63,No,0,256,0,0,1031.0
Ultrabook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,No,0,256,0,0,1149.0
2 in 1 Convertible,13.3,1920x1080,Intel i7,16,Windows 10,1.62,Yes,0,512,0,0,1279.0
Notebook,15.6,1920x1080,Intel i5,8,Linux,2.2,No,0,256,0,0,677.35
2 in 1 Convertible,14.0,1920x1080,Intel i5,8,Windows 10,1.74,No,0,256,0,0,899.0
Ultrabook,13.3,1920x1080,Intel i7,8,Windows 10,1.2,No,0,256,0,0,1363.0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.1,No,1000,0,0,0,794.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.42,No,1000,256,0,0,2456.34
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,0,256,0,0,832.0
Notebook,15.6,1920x1080,Intel i7,16,Windows 10,2.3,Yes,1000,0,0,0,859.01
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.0,No,0,256,0,0,769.0
Notebook,17.3,1920x1080,Intel i5,8,Windows 10,2.69,No,500,256,0,0,891.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,1.9,No,1000,0,0,0,1269.0
Notebook,15.6,1366x768,Intel i3,4,Windows 10,2.37,No,1000,0,0,0,398.99
Notebook,15.6,1366x768,AMD E,4,Windows 10,2.1,No,500,0,0,0,330.0
Gaming,15.6,1920x1080,Intel i7,16,Windows 10,3.2,No,1000,256,0,0,1499.0
Notebook,14.0,1920x1080,Intel i5,8,Windows 10,1.6,No,0,256,0,0,859.0
2 in 1 Convertible,13.3,1920x1080,Intel i5,8,Windows 10,1.6,Yes,0,256,0,0,689.0
Notebook,15.6,1920x1080,Intel i7,16,Linux,2.36,No,0,256,0,0,899.0
Notebook,15.6,1366x768,Intel i3,4,Linux,2.1,No,1000,0,0,0,390.0
Notebook,15.6,1920x1080,AMD A10,4,Windows 10,2.2,No,1000,128,0,0,575.0
Gaming,17.3,1920x1080,Intel i7,32,Windows 10,4.7,No,1000,512,0,0,3890.0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,846.0
Notebook,15.6,1366x768,Intel i3,8,Windows 10,2.2,No,0,128,0,0,589.0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.1,No,1000,128,0,0,1145.0
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.69,No,1000,128,0,0,889.0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.56,No,0,256,0,0,879.0
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.38,Yes,0,256,0,0,1079.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,2000,128,0,0,985.0
Notebook,15.6,1366x768,Intel i5,8,Windows 10,2.04,Yes,1000,0,0,0,559.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,3.6,No,0,256,0,0,2999.0
Notebook,13.3,1920x1080,Intel i5,4,Windows 10,1.49,No,500,0,0,0,675.0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,512,0,0,2040.0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2.08,Yes,1000,0,0,0,819.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.3,No,1000,256,0,0,1799.0
Notebook,15.6,1366x768,AMD A9,4,Windows 10,1.68,No,1000,0,0,0,469.0
2 in 1 Convertible,13.9,1920x1080,Intel i7,8,Windows 10,1.37,Yes,0,512,0,0,1849.0
Notebook,17.3,1920x1080,Intel i3,4,Windows 10,3.0,No,0,256,0,0,702.0
Ultrabook,13.3,1920x1080,Intel i5,8,Windows 10,1.41,No,0,256,0,0,949.0
Notebook,15.6,1366x768,AMD A6,8,Windows 10,1.91,No,0,128,0,0,445.9
Notebook,17.3,1920x1080,Intel i7,16,Windows 10,2.9,No,1000,0,0,0,1059.0
Gaming,17.3,1920x1080,Intel i7,16,Windows 10,4.14,No,1000,512,0,0,2499.0
2 in 1 Convertible,15.6,1920x1080,Intel i7,8,Windows 10,2.0,Yes,0,512,0,0,1699.0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.8,No,1000,128,0,0,1142.0
Notebook,15.6,1920x1080,Intel i3,4,No OS,2.2,No,0,256,0,0,444.0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.1,No,500,0,0,0,722.0
Notebook,15.6,1920x1080,Intel i5,4,Windows 10,2.18,No,1000,0,0,0,657.0
Notebook,15.6,1920x1080,Intel i5,8,Windows 10,2.24,No,1000,0,0,0,565.0
2 in 1 Convertible,15.6,1920x1080,Intel i5,8,Windows 10,2.67,Yes,0,256,0,0,799.0
2 in 1 Convertible,13.3,1920x1080,Intel i7,8,Windows 10,1.1,Yes,0,1000,0,0,1499.0
Notebook,15.6,1920x1080,Intel i5,4,No OS,2.2,No,1000,0,0,0,467.0
Notebook,17.3,1920x1080,Intel i7,8,Windows 10,2.5,No,1000,0,0,0,1018.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.05,No,0,256,0,0,880.0
Ultrabook,13.3,2560x1600,Intel i5,8,macOS,1.37,No,0,512,0,0,1958.9
Gaming,17.3,1920x1080,AMD Ryzen,16,Windows 10,3.2,No,1000,256,0,0,1549.0
Notebook,15.6,1920x1080,Intel i7,8,Linux,2.14,No,0,256,0,0,735.07
2 in 1 Convertible,14.0,2560x1440,Intel i7,16,Windows 10,1.36,Yes,0,512,0,0,2499.0
Notebook,15.6,1366x768,Intel i7,8,Windows 10,2.2,No,500,0,0,0,812.0
Notebook,15.6,1366x768,Intel i7,12,Windows 10,2.3,No,1000,0,0,0,713.07
Notebook,17.3,1920x1080,Intel i7,8,Linux,2.8,No,1000,128,0,0,1099.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,2.2,No,1000,0,0,0,745.0
Notebook,17.3,1600x900,Intel i3,4,Windows 10,2.8,No,1000,0,0,0,489.0
Notebook,17.3,1920x1080,Intel i7,8,No OS,2.8,No,2000,0,0,0,849.0
Notebook,17.3,1600x900,Intel i7,6,Windows 10,2.8,No,1000,128,0,0,859.0
Notebook,15.6,1920x1080,Intel i3,4,Linux,2.25,No,1000,0,0,0,428.0
Gaming,15.6,1920x1080,Intel i5,8,Windows 10,2.5,No,0,256,0,0,829.0
Notebook,15.6,1920x1080,Intel i5,6,Windows 10,2.2,No,0,256,0,0,579.0
Notebook,15.6,1920x1080,Intel i7,8,Windows 10,3.0,No,0,256,0,0,951.0
Notebook,15.6,1920x1080,Intel i7,12,Windows 10,2.15,Yes,1000,0,0,0,659.0
